CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,松山區,6300100,2021-02-20,06:00:00,12,9,80,偏南風,2,<= 1,11,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-20,09:00:00,16,9,65,偏東風,2,<= 1,15,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-20,12:00:00,23,12,49,偏東風,1,<= 1,23,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-20,15:00:00,23,12,50,東南風,3,2,24,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-20,18:00:00,19,14,70,東南風,2,2,19,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-20,21:00:00,18,14,82,東南風,3,2,18,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-21,00:00:00,17,13,79,東南風,2,<= 1,16,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-21,03:00:00,16,13,84,偏南風,1,<= 1,16,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-21,06:00:00,15,13,88,偏北風,1,<= 1,15,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-21,09:00:00,18,14,79,東北風,1,<= 1,19,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-21,12:00:00,25,16,59,偏北風,0,<= 1,26,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-21,15:00:00,24,17,62,偏西風,1,<= 1,26,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-21,18:00:00,21,16,75,西南風,1,<= 1,22,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-21,21:00:00,19,17,87,西南風,2,<= 1,20,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-22,00:00:00,18,16,88,東南風,1,<= 1,19,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-22,03:00:00,17,15,88,東南風,3,2,18,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-22,06:00:00,16,13,82,東南風,2,2,16,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-22,09:00:00,20,13,66,偏西風,1,<= 1,19,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-22,12:00:00,26,14,46,偏北風,1,<= 1,27,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-22,15:00:00,26,16,54,東北風,2,2,28,晴,01,0,0,2021-02-20
臺北市,松山區,6300100,2021-02-22,18:00:00,22,18,76,偏東風,3,2,23,晴,01,0,40,2021-02-20
臺北市,松山區,6300100,2021-02-22,21:00:00,20,18,88,偏東風,3,2,21,晴,01,0,40,2021-02-20
臺北市,松山區,6300100,2021-02-23,00:00:00,20,18,89,偏東風,3,2,20,短暫雨,08,40,40,2021-02-20
臺北市,松山區,6300100,2021-02-23,03:00:00,19,18,91,偏東風,4,3,19,短暫雨,08,40,40,2021-02-20
臺北市,信義區,6300200,2021-02-20,06:00:00,12,3,56,偏南風,2,<= 1,10,晴,01,0,0,2021-02-20
臺北市,信義區,6300200,2021-02-20,09:00:00,15,3,45,東北風,2,<= 1,14,晴,01,0,0,2021-02-20
臺北市,信義區,6300200,2021-02-20,12:00:00,23,5,32,偏東風,1,<= 1,22,晴,01,0,0,2021-02-20
臺北市,信義區,6300200,2021-02-20,15:00:00,23,7,35,東南風,3,2,23,晴,01,0,0,2021-02-20
臺北市,信義區,6300200,2021-02-20,18:00:00,19,10,55,東南風,3,2,18,晴,01,0,0,2021-02-20
臺北市,信義區,6300200,2021-02-20,21:00:00,18,12,68,東南風,3,2,16,晴,01,0,0,2021-02-20
臺北市,信義區,6300200,2021-02-21,00:00:00,17,10,66,東南風,2,<= 1,16,晴,01,0,0,2021-02-20
臺北市,信義區,6300200,2021-02-21,03:00:00,16,10,68,偏東風,1,<= 1,15,晴,01,0,0,2021-02-20
臺北市,信義區,6300200,2021-02-21,06:00:00,15,10,73,偏北風,1,<= 1,15,晴,01,0,0,2021-02-20
