CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,松山區,63000010,2021-05-13,06:00:00,27,22,74,偏西風,1,<= 1,31,晴,01,10,20,2021-05-13
臺北市,松山區,63000010,2021-05-13,09:00:00,32,21,54,偏西風,2,<= 1,36,晴,01,10,20,2021-05-13
臺北市,松山區,63000010,2021-05-13,12:00:00,35,22,45,偏北風,2,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,松山區,63000010,2021-05-13,15:00:00,34,24,54,東北風,2,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,松山區,63000010,2021-05-13,18:00:00,31,23,63,偏東風,1,<= 1,36,晴,01,10,10,2021-05-13
臺北市,松山區,63000010,2021-05-13,21:00:00,29,24,72,偏南風,1,<= 1,34,晴,01,10,10,2021-05-13
臺北市,松山區,63000010,2021-05-14,00:00:00,29,24,76,東南風,1,<= 1,33,晴,01,0,10,2021-05-13
臺北市,松山區,63000010,2021-05-14,03:00:00,28,23,78,東北風,1,<= 1,32,多雲,04,0,10,2021-05-13
臺北市,松山區,63000010,2021-05-14,06:00:00,27,22,75,偏北風,1,<= 1,31,晴,01,10,20,2021-05-13
臺北市,松山區,63000010,2021-05-14,09:00:00,32,22,57,偏北風,1,<= 1,36,晴,01,10,20,2021-05-13
臺北市,松山區,63000010,2021-05-14,12:00:00,35,24,52,東北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,松山區,63000010,2021-05-14,15:00:00,34,26,63,偏北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,松山區,63000010,2021-05-14,18:00:00,31,24,65,偏北風,1,<= 1,36,晴,01,0,0,2021-05-13
臺北市,松山區,63000010,2021-05-14,21:00:00,29,24,74,西南風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,松山區,63000010,2021-05-15,00:00:00,28,24,77,偏北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,松山區,63000010,2021-05-15,03:00:00,28,24,80,西北風,1,<= 1,32,晴,01,0,0,2021-05-13
臺北市,松山區,63000010,2021-05-15,06:00:00,27,22,74,偏北風,1,<= 1,31,晴,01,10,20,2021-05-13
臺北市,松山區,63000010,2021-05-15,09:00:00,31,21,56,偏北風,1,<= 1,35,晴,01,10,20,2021-05-13
臺北市,松山區,63000010,2021-05-15,12:00:00,34,23,51,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,松山區,63000010,2021-05-15,15:00:00,34,25,61,偏北風,1,<= 1,39,晴,01,20,20,2021-05-13
臺北市,松山區,63000010,2021-05-15,18:00:00,31,24,65,東北風,1,<= 1,36,晴,01,20,20,2021-05-13
臺北市,松山區,63000010,2021-05-15,21:00:00,29,24,74,偏北風,1,<= 1,34,晴,01,20,20,2021-05-13
臺北市,松山區,63000010,2021-05-16,00:00:00,28,24,77,偏西風,1,<= 1,33,多雲,04,10,20,2021-05-13
臺北市,松山區,63000010,2021-05-16,03:00:00,28,24,80,西北風,1,<= 1,32,多雲,04,10,20,2021-05-13
臺北市,信義區,63000020,2021-05-13,06:00:00,26,23,84,偏西風,1,<= 1,30,晴,01,10,20,2021-05-13
臺北市,信義區,63000020,2021-05-13,09:00:00,32,22,56,偏西風,2,<= 1,36,晴,01,10,20,2021-05-13
臺北市,信義區,63000020,2021-05-13,12:00:00,36,21,44,偏北風,2,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,信義區,63000020,2021-05-13,15:00:00,34,24,53,東北風,2,2,39,晴,01,20,20,2021-05-13
臺北市,信義區,63000020,2021-05-13,18:00:00,32,25,67,東北風,1,<= 1,36,晴,01,10,10,2021-05-13
臺北市,信義區,63000020,2021-05-13,21:00:00,29,25,79,偏南風,1,<= 1,34,晴,01,10,10,2021-05-13
臺北市,信義區,63000020,2021-05-14,00:00:00,28,25,82,東北風,1,<= 1,34,晴,01,0,10,2021-05-13
臺北市,信義區,63000020,2021-05-14,03:00:00,27,24,84,東北風,1,<= 1,32,多雲,04,0,10,2021-05-13
臺北市,信義區,63000020,2021-05-14,06:00:00,26,23,80,西北風,1,<= 1,30,晴,01,10,20,2021-05-13
臺北市,信義區,63000020,2021-05-14,09:00:00,31,22,60,偏北風,1,<= 1,35,晴,01,10,20,2021-05-13
臺北市,信義區,63000020,2021-05-14,12:00:00,35,23,51,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,信義區,63000020,2021-05-14,15:00:00,34,26,63,偏北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,信義區,63000020,2021-05-14,18:00:00,31,25,68,偏北風,1,<= 1,36,晴,01,0,0,2021-05-13
臺北市,信義區,63000020,2021-05-14,21:00:00,29,26,81,偏西風,1,<= 1,35,晴,01,0,0,2021-05-13
臺北市,信義區,63000020,2021-05-15,00:00:00,28,25,83,偏北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,信義區,63000020,2021-05-15,03:00:00,27,24,85,西北風,1,<= 1,32,晴,01,0,0,2021-05-13
臺北市,信義區,63000020,2021-05-15,06:00:00,27,23,79,偏北風,1,<= 1,31,晴,01,20,20,2021-05-13
臺北市,信義區,63000020,2021-05-15,09:00:00,31,22,58,偏北風,1,<= 1,35,晴,01,20,20,2021-05-13
臺北市,信義區,63000020,2021-05-15,12:00:00,34,23,51,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,信義區,63000020,2021-05-15,15:00:00,33,25,60,偏北風,1,<= 1,39,晴,01,20,20,2021-05-13
臺北市,信義區,63000020,2021-05-15,18:00:00,31,24,68,東北風,1,<= 1,36,晴,01,0,10,2021-05-13
臺北市,信義區,63000020,2021-05-15,21:00:00,29,25,80,偏北風,1,<= 1,35,晴,01,0,10,2021-05-13
臺北市,信義區,63000020,2021-05-16,00:00:00,28,25,83,西北風,1,<= 1,33,多雲,04,10,10,2021-05-13
臺北市,信義區,63000020,2021-05-16,03:00:00,27,25,86,西北風,1,<= 1,32,多雲,04,10,10,2021-05-13
臺北市,大安區,63000030,2021-05-13,06:00:00,26,24,89,西北風,1,<= 1,30,晴,01,0,20,2021-05-13
臺北市,大安區,63000030,2021-05-13,09:00:00,31,22,57,偏西風,2,<= 1,35,晴,01,0,20,2021-05-13
臺北市,大安區,63000030,2021-05-13,12:00:00,36,22,47,偏北風,2,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,大安區,63000030,2021-05-13,15:00:00,35,25,57,東北風,2,2,40,晴,01,20,20,2021-05-13
臺北市,大安區,63000030,2021-05-13,18:00:00,31,26,71,東北風,1,<= 1,36,晴,01,10,10,2021-05-13
臺北市,大安區,63000030,2021-05-13,21:00:00,29,26,82,偏西風,1,<= 1,34,晴,01,10,10,2021-05-13
臺北市,大安區,63000030,2021-05-14,00:00:00,28,26,87,偏北風,1,<= 1,34,晴,01,0,10,2021-05-13
臺北市,大安區,63000030,2021-05-14,03:00:00,27,25,88,東北風,1,<= 1,32,晴,01,0,10,2021-05-13
臺北市,大安區,63000030,2021-05-14,06:00:00,26,23,83,西北風,1,<= 1,30,晴,01,10,20,2021-05-13
臺北市,大安區,63000030,2021-05-14,09:00:00,31,22,62,偏北風,1,<= 1,35,晴,01,10,20,2021-05-13
臺北市,大安區,63000030,2021-05-14,12:00:00,34,24,54,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,大安區,63000030,2021-05-14,15:00:00,34,26,66,東北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,大安區,63000030,2021-05-14,18:00:00,31,25,70,偏北風,1,<= 1,36,晴,01,0,0,2021-05-13
臺北市,大安區,63000030,2021-05-14,21:00:00,29,26,85,西北風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,大安區,63000030,2021-05-15,00:00:00,28,26,88,偏北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,大安區,63000030,2021-05-15,03:00:00,27,25,89,西北風,1,<= 1,32,晴,01,0,0,2021-05-13
臺北市,大安區,63000030,2021-05-15,06:00:00,26,23,82,偏北風,1,<= 1,30,晴,01,20,20,2021-05-13
臺北市,大安區,63000030,2021-05-15,09:00:00,31,22,59,偏北風,1,<= 1,35,晴,01,20,20,2021-05-13
臺北市,大安區,63000030,2021-05-15,12:00:00,34,24,55,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,大安區,63000030,2021-05-15,15:00:00,34,26,66,偏北風,1,<= 1,39,晴,01,20,20,2021-05-13
臺北市,大安區,63000030,2021-05-15,18:00:00,31,25,72,偏北風,1,<= 1,36,晴,01,0,0,2021-05-13
臺北市,大安區,63000030,2021-05-15,21:00:00,29,26,85,偏北風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,大安區,63000030,2021-05-16,00:00:00,28,26,89,西北風,1,<= 1,33,多雲,04,0,0,2021-05-13
臺北市,大安區,63000030,2021-05-16,03:00:00,27,25,90,西北風,1,<= 1,32,多雲,04,0,0,2021-05-13
臺北市,中山區,63000040,2021-05-13,06:00:00,27,24,84,偏西風,1,<= 1,32,晴,01,0,20,2021-05-13
臺北市,中山區,63000040,2021-05-13,09:00:00,31,22,58,偏西風,2,<= 1,35,晴,01,0,20,2021-05-13
臺北市,中山區,63000040,2021-05-13,12:00:00,35,22,49,偏北風,2,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,中山區,63000040,2021-05-13,15:00:00,34,25,60,東北風,2,2,39,晴,01,20,20,2021-05-13
臺北市,中山區,63000040,2021-05-13,18:00:00,32,25,70,東北風,1,<= 1,36,晴,01,10,10,2021-05-13
臺北市,中山區,63000040,2021-05-13,21:00:00,30,26,79,偏北風,1,<= 1,35,晴,01,10,10,2021-05-13
臺北市,中山區,63000040,2021-05-14,00:00:00,29,26,84,偏北風,1,<= 1,35,晴,01,0,10,2021-05-13
臺北市,中山區,63000040,2021-05-14,03:00:00,28,25,84,東北風,1,<= 1,33,多雲,04,0,10,2021-05-13
臺北市,中山區,63000040,2021-05-14,06:00:00,27,24,81,西北風,1,<= 1,32,晴,01,0,20,2021-05-13
臺北市,中山區,63000040,2021-05-14,09:00:00,31,23,63,西北風,1,<= 1,36,晴,01,0,20,2021-05-13
臺北市,中山區,63000040,2021-05-14,12:00:00,34,25,57,東北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,中山區,63000040,2021-05-14,15:00:00,34,27,67,偏北風,2,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,中山區,63000040,2021-05-14,18:00:00,31,25,70,偏北風,1,<= 1,36,晴,01,0,0,2021-05-13
臺北市,中山區,63000040,2021-05-14,21:00:00,30,26,82,西北風,1,<= 1,35,晴,01,0,0,2021-05-13
臺北市,中山區,63000040,2021-05-15,00:00:00,29,26,84,偏北風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,中山區,63000040,2021-05-15,03:00:00,28,25,86,西北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,中山區,63000040,2021-05-15,06:00:00,28,24,79,西北風,1,<= 1,32,晴,01,20,20,2021-05-13
臺北市,中山區,63000040,2021-05-15,09:00:00,31,22,59,西北風,1,<= 1,36,晴,01,20,20,2021-05-13
臺北市,中山區,63000040,2021-05-15,12:00:00,34,24,57,偏北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,中山區,63000040,2021-05-15,15:00:00,34,27,68,偏北風,1,<= 1,40,晴,01,20,20,2021-05-13
臺北市,中山區,63000040,2021-05-15,18:00:00,31,26,72,東北風,1,<= 1,37,晴,01,0,10,2021-05-13
臺北市,中山區,63000040,2021-05-15,21:00:00,30,26,81,偏北風,1,<= 1,35,晴,01,0,10,2021-05-13
臺北市,中山區,63000040,2021-05-16,00:00:00,29,26,85,西北風,1,<= 1,35,多雲,04,10,10,2021-05-13
臺北市,中山區,63000040,2021-05-16,03:00:00,28,26,87,西北風,1,<= 1,34,多雲,04,10,10,2021-05-13
臺北市,中正區,63000050,2021-05-13,06:00:00,26,24,89,西北風,1,<= 1,30,晴,01,0,20,2021-05-13
臺北市,中正區,63000050,2021-05-13,09:00:00,31,22,57,偏西風,2,<= 1,35,晴,01,0,20,2021-05-13
臺北市,中正區,63000050,2021-05-13,12:00:00,36,22,47,偏北風,2,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,中正區,63000050,2021-05-13,15:00:00,35,25,57,東北風,2,2,40,晴,01,20,20,2021-05-13
臺北市,中正區,63000050,2021-05-13,18:00:00,31,26,71,東北風,1,<= 1,36,晴,01,10,10,2021-05-13
臺北市,中正區,63000050,2021-05-13,21:00:00,29,26,82,偏西風,1,<= 1,34,晴,01,10,10,2021-05-13
臺北市,中正區,63000050,2021-05-14,00:00:00,28,26,87,偏北風,1,<= 1,34,晴,01,0,10,2021-05-13
臺北市,中正區,63000050,2021-05-14,03:00:00,27,25,88,東北風,1,<= 1,32,晴,01,0,10,2021-05-13
臺北市,中正區,63000050,2021-05-14,06:00:00,26,23,83,西北風,1,<= 1,30,晴,01,10,20,2021-05-13
臺北市,中正區,63000050,2021-05-14,09:00:00,31,22,62,偏北風,1,<= 1,35,晴,01,10,20,2021-05-13
臺北市,中正區,63000050,2021-05-14,12:00:00,34,24,54,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
臺北市,中正區,63000050,2021-05-14,15:00:00,34,26,66,東北風,1,<= 1,40,多雲,04,20,20,2021-05-13
臺北市,中正區,63000050,2021-05-14,18:00:00,31,25,70,偏北風,1,<= 1,36,晴,01,0,0,2021-05-13
臺北市,中正區,63000050,2021-05-14,21:00:00,29,26,85,西北風,1,<= 1,34,晴,01,0,0,2021-05-13
臺北市,中正區,63000050,2021-05-15,00:00:00,28,26,88,偏北風,1,<= 1,33,晴,01,0,0,2021-05-13
臺北市,中正區,63000050,2021-05-15,03:00:00,27,25,89,西北風,1,<= 1,32,晴,01,0,0,2021-05-13
臺北市,中正區,63000050,2021-05-15,06:00:00,26,23,82,偏北風,1,<= 1,30,晴,01,20,20,2021-05-13
臺北市,中正區,63000050,2021-05-15,09:00:00,31,22,59,偏北風,1,<= 1,35,晴,01,20,20,2021-05-13
臺北市,中正區,63000050,2021-05-15,12:00:00,34,24,55,東北風,1,<= 1,39,多雲,04,20,20,2021-05-13
